id,Languages_Spoken
1,English;Chinese;Spanish;Hindi
2,Somali;English;Hindi
3,English
4,Japanese;Somali;Swahili;Hindi;Amharic
5,Somali;English;Chinese;Spanish;Hindi;Amharic;Arabic
6,Chinese;Russian;Amharic
7,English;Spanish
8,Lahnda;Japanese;Somali;English;Chinese;Spanish;Hindi;Amharic
9,Lahnda;Swahili;English;Spanish;Hindi;Vietnamese;Logu;Amharic;German;Korean;French
10,Swahili;Turkish;Spanish;Hindi;Russian;Amharic
11,French
12,Lahnda;English;Chinese;Hindi;Russian;Amharic
13,Lahnda;English;Spanish;Marathi;Amharic;German
14,Somali
15,Urdu;Lahnda;Japanese;Somali;English;Chinese;Spanish;Marathi;Amharic
16,Lahnda;Swahili;English;Spanish;German;Arabic
17,Lahnda;English;Spanish;German
18,Hindi;Bow
19,Swahili;English;Chinese;Spanish;Amharic;German
20,Lahnda;Swahili;English;Chinese;Spanish;Marathi;Hindi;Russian;Amharic
21,Urdu;Lahnda;Japanese;Somali;Turkish;Chinese;Spanish;Kotlin;Hindi;Logu;Amharic;And
22,Lahnda;Somali;English;Spanish;Hindi;Vietnamese;Amharic;German
23,Lahnda;English;Spanish;Hindi;Vietnamese;Amharic
24,English;Spanish;Marathi;German
25,English;Spanish;Marathi;Amharic;German
26,Lahnda;Somali;Swahili;English;Spanish;Marathi;Hindi;Vietnamese;Amharic;And;German;Arabic
27,Somali;Spanish;Hindi;Vietnamese;Amharic;German
28,Spanish;German
29,Lahnda;Spanish;Amharic
31,Hindi
32,Lahnda;English;Spanish;Marathi;Hindi
33,Somali;Hindi;Bow
34,English;Spanish
35,English;Spanish
36,Chinese;Kotlin;Hindi
37,Lahnda;Spanish;Hindi;French
38,Swahili;English;Spanish;Amharic
39,Swahili;Spanish;Amharic;German
40,Swahili;English
41,Lahnda;Japanese;Somali;English;Chinese;Spanish;Amharic
42,English;Spanish;Marathi;German
43,Somali;Swahili;English;Chinese;Spanish;Japanese;Amharic
44,Lahnda;Swahili;English;Chinese;Spanish;Amharic;German;Korean
45,Hindi
46,Lahnda;Japanese;Swahili;English;Spanish;Marathi;Hindi;Amharic;French
47,Chinese;Marathi;Vietnamese
48,English;Marathi;Amharic
49,Lahnda;English;Chinese;Spanish;Marathi;Hindi;Amharic;German
50,Lahnda;Japanese;Somali;English;Chinese;Spanish;Marathi;Hindi;Amharic
51,Lahnda;Somali;English;Chinese;Spanish;Hindi;Russian;German
52,Lahnda;Japanese;Somali;Chawl;Erlang;Turkish;English;Chinese;Spanish;Kotlin;Hindi;Vietnamese;Logu;Amharic;German
53,Lahnda;English;Chinese;Spanish;Marathi;Amharic;German
54,Lahnda;English;Spanish;Hindi
55,Chinese;Hindi;Amharic
56,Lahnda;English;Chinese;Amharic
57,Spanish;Hindi
58,Swahili;Chinese;Amharic
59,English;Spanish;Marathi;Amharic
60,Lahnda;Turkish;Spanish;Marathi;Hindi;Vietnamese;Amharic
61,Somali;Swahili;English;Spanish;Marathi;Hindi;Amharic;Arabic
62,Lahnda;Somali;Turkish;English;Chinese;Spanish;Kotlin;Marathi;Hindi;Vietnamese;Amharic;German;Arabic
63,Lahnda;Clojure;Chinese;Hindi;French
64,Lahnda;Japanese;Somali;Swahili
65,Urdu;Japanese;Somali;Swahili;English;Chinese
66,Clojure;Turkish;English;Chinese;Spanish;Russian;Amharic
67,Japanese;Swahili;English;Chinese;Spanish;Marathi;Hindi;Amharic;Arabic
68,English;Chinese;Spanish;Hindi
69,Swahili;English;Chinese;Spanish;Japanese;Amharic;German
70,Swahili;English;Spanish;Amharic
71,English;Spanish;Marathi;Hindi;Amharic;Arabic
72,Swahili;English;Spanish;Marathi;Amharic;German
73,Amharic
74,English;Chinese;Spanish;Kotlin;Hindi;Vietnamese
75,English;Spanish
76,Marathi;Amharic
77,English;Spanish;Marathi;Amharic
78,English;Chinese;Spanish;Kotlin;Hindi
79,Swahili;English;Spanish;German
80,Lahnda;Swahili;Telugu;Turkish;English;Chinese;Spanish;Hindi;Amharic;German
81,Urdu;Lahnda;Japanese;Somali;Hindi
82,Lahnda;Somali;English;Chinese;Spanish;Hindi;Logu
83,English;Spanish
84,Japanese;Somali;Swahili;Chinese;Kotlin;Marathi;Amharic
85,Lahnda;English;Spanish;Marathi;Hindi;Amharic;German
86,Lahnda;Swahili;English;Spanish;Marathi;Hindi;Amharic
87,Lahnda;Japanese;Somali;Swahili;Turkish;English;Chinese;Spanish;Japanese;Hindi;Amharic
88,Somali;Swahili;English;Chinese;Spanish;Amharic;German
89,Lahnda;Hindi
90,Lahnda;Swahili;English;Chinese;Spanish;Japanese;Marathi;Hindi;Vietnamese;Amharic;And;German
91,English;Spanish;German
92,English;Chinese;Spanish;Kotlin;Amharic;Arabic
93,Hindi;Amharic
94,Swahili;English;Spanish;Amharic
95,Swahili;English;Spanish;Hindi;Russian;Amharic
96,Japanese;Somali;Chinese;Hindi;Russian;Scala;Amharic
97,Lahnda;Spanish;Hindi;Russian;Amharic
98,English;Chinese;Spanish;Amharic
99,Japanese;Somali;English;Chinese;Spanish;Kotlin;Marathi;Hindi;Amharic
100,English;Spanish;Vietnamese;Amharic;German
101,Lahnda;English;Spanish;Amharic
102,Swahili;English;Spanish;Amharic;German
103,Clojure;Turkish;Chinese;Kotlin
104,Swahili;English;German
105,Lahnda;English;Spanish;Amharic
106,Lahnda;English;Chinese;Spanish;Hindi;Amharic
107,English;Chinese;Hindi
108,Somali;Hindi
109,Swahili;English;Spanish;Amharic
110,Hindi;Amharic
111,Lahnda;Swahili;English;Spanish;Hindi;Amharic;Arabic
112,Urdu;Japanese;Somali;Swahili;English;Chinese;Spanish;Hindi;Arabic
113,Lahnda;Japanese;Somali
114,Lahnda;Somali;Erlang;Spanish;Marathi;Hindi
115,Urdu;Swahili;English;Chinese;Spanish;Amharic;And
116,Scala;French
117,Swahili;English;Spanish;Amharic;German
118,Lahnda;Japanese;Somali
119,Japanese;Somali;Swahili;English;Chinese;Spanish;Amharic
120,Chawl;English;Spanish;Hindi;Vietnamese;Amharic
121,Lahnda;Japanese;Somali;English;Spanish;Hindi
122,Urdu;Lahnda;Somali;Hindi;Amharic
123,English;Spanish;German
124,English;Chinese;Amharic
125,Lahnda;Thart;English;Chinese;Spanish;Scala
126,Swahili;Amharic
127,Lahnda;Japanese;Hindi
128,Lahnda;Turkish;Vietnamese
129,Somali;Hindi;Bow
130,Lahnda;Somali;Clojure;English;Chinese;Hindi;Vietnamese;Amharic
131,Chinese
132,Lahnda;Somali;Swahili;English;Chinese;Spanish;Japanese;Hindi;German
133,Spanish;Marathi;Amharic
134,Japanese;Somali;English;Spanish;Amharic
135,Turkish;English;Spanish;German
136,Swahili;Chinese;Marathi;Hindi
137,English;Chinese;Spanish;Marathi;Amharic
139,Lahnda;English;Spanish;Marathi;Hindi;Amharic
140,Chinese;Spanish;Kotlin;Marathi;Amharic
141,Urdu;Lahnda;Japanese;Somali;English;Chinese;Spanish;Hindi;Amharic;German
142,Lahnda;Swahili
143,Japanese;English;Chinese;Spanish;Hindi;Amharic;German
144,Chinese;Amharic
145,Urdu;Somali;Hindi;Arabic
146,Lahnda;Japanese;Hindi;Scala
147,English;Chinese;Spanish;Kotlin
148,English;Spanish;German
149,Lahnda;English;Spanish;Hindi;Amharic
150,Lahnda;Swahili;English;Chinese;Spanish;Hindi;Amharic
151,Lahnda;Somali;Swahili;English;Chinese;Spanish;Amharic;German
152,English;Chinese;Spanish;Kotlin;Japanese;Hindi;And;French
153,Japanese;Somali;Hindi
154,English;Chinese;Spanish;Marathi;Amharic;Arabic
155,Lahnda;English;Spanish;German
156,Lahnda;Hindi
157,Lahnda;Swahili;English;Spanish;Amharic
158,Chinese;Amharic;French
159,Lahnda;English;Spanish;Hindi
160,Swahili
161,English;Spanish;Marathi
162,Lahnda;Somali;English;Chinese;Spanish;Marathi;Amharic
163,Swahili;English;Spanish;Amharic;French
164,Swahili;English;Spanish;Amharic
165,Urdu;Lahnda;Japanese;Somali;Swahili;Spanish;Hindi;Amharic
166,Lahnda;Turkish;English;Chinese;Spanish;Vietnamese;Amharic
167,English;Chinese;Spanish;Marathi;Hindi;Amharic
168,Lahnda;Hindi
169,Japanese;Somali;English;Chinese;Spanish;Marathi;Hindi;Amharic
170,Clojure;Turkish;English;Chinese;Spanish;Hindi;Vietnamese;German
171,Urdu;Japanese;Somali;Swahili;English;Chinese;Japanese;Marathi;Hindi;Russian;Amharic;And
172,English;Spanish;Japanese;Amharic
173,English;Spanish;Marathi;Amharic;German
174,Lahnda;Japanese;Somali;English;Chinese;Spanish;Marathi;Hindi;Bow
175,Urdu;Lahnda;Japanese;Somali;English;Chinese;Spanish;Marathi;Hindi;Amharic
176,Japanese;Somali;Swahili;English;Chinese;Spanish;Hindi;Amharic
177,Swahili;Hindi;Amharic
178,Spanish;Marathi;Hindi;Vietnamese;Amharic;German
179,English;Chinese;Spanish;Japanese;Amharic;And
181,English;Spanish
182,Lahnda;Japanese;Somali;Turkish;English;Chinese;Spanish;Marathi;Hindi;Logu;Amharic;German
183,Thart;Turkish;Chinese;Kotlin;And
184,Lahnda;Japanese;Somali;Chinese;Spanish;Kotlin;Japanese;Hindi;Logu;And
185,Lahnda;Chinese;Kotlin
186,Urdu;Japanese;Somali;English;Chinese;Spanish;Hindi
187,English;Spanish;Vietnamese;Scala;Amharic
188,Swahili;Hindi;Russian;Amharic;Arabic
189,Somali;English;Spanish;Hindi;Amharic
190,Chinese;Scala;Amharic;German
191,Swahili;English;Spanish;Amharic;German
192,Lahnda;Spanish;Hindi
193,Lahnda;English;Spanish;Vietnamese;Amharic
194,Urdu;Lahnda;Japanese;English;Chinese;Spanish;Marathi
195,Swahili;German;French
196,Swahili;English;Spanish;Amharic;German
197,English;Russian;Arabic
198,English;Chinese;Spanish;Hindi;Amharic
199,Russian;Amharic
200,Chinese;Spanish;Amharic;Arabic
201,Lahnda;Turkish;English;Chinese;Spanish;Hindi;Scala
202,Lahnda;Japanese;Somali;Swahili;English;Chinese;Spanish;Japanese;Hindi;Amharic;German
203,Japanese;Somali;English;Spanish;Marathi;Amharic
204,Hindi;French
205,Swahili;English;Spanish;Marathi
206,Scala;Amharic
207,Chinese
208,French
209,Lahnda;English;Spanish;Marathi;Hindi;Amharic
210,Somali;Turkish;Chinese;Spanish;Hindi;Logu;Korean
211,Swahili;English;Chinese;Spanish;Japanese;Amharic
212,Swahili;English;Chinese;Spanish;Marathi
213,Turkish;Hindi
214,Russian;French
215,Hindi;Logu
216,Turkish;Chinese;Hindi
217,Turkish;English;Spanish;Marathi;German
218,English;Spanish;Marathi;Amharic
219,Swahili;English;Spanish;Amharic
220,Swahili;English;Spanish;Amharic
221,Japanese;Somali;English;Chinese;Spanish;Marathi;Amharic
222,Urdu;Lahnda;Japanese;English;Spanish;French
223,Chinese;Kotlin
224,Turkish
225,Lahnda;Japanese;Somali;Swahili;English;Chinese;Spanish;Marathi;Hindi;Russian;Amharic
226,English;Spanish;Marathi;Hindi;Amharic
